station_id,value,date,device_id,name,location
S109,31.9,2023-10-01,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,30.7,2023-10-01,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S107,30.0,2023-10-01,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.0,2023-10-01,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.5,2023-10-01,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.1,2023-10-01,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.5,2023-10-01,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.5,2023-10-01,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.8,2023-10-01,,,
S24,31.2,2023-10-01,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.6,2023-10-01,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,32.1,2023-10-01,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,31.6,2023-10-02,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,30.6,2023-10-02,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,30.4,2023-10-02,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.5,2023-10-02,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.4,2023-10-02,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.2,2023-10-02,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,31.9,2023-10-02,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,30.8,2023-10-02,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.5,2023-10-02,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.9,2023-10-02,,,
S24,30.9,2023-10-02,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.6,2023-10-02,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.8,2023-10-02,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,26.8,2023-10-03,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,26.6,2023-10-03,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,26.6,2023-10-03,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,27.9,2023-10-03,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,27.4,2023-10-03,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,26.6,2023-10-03,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,28.0,2023-10-03,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,26.2,2023-10-03,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,27.0,2023-10-03,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,27.2,2023-10-03,,,
S24,29.1,2023-10-03,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,26.6,2023-10-03,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,26.8,2023-10-03,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,31.4,2023-10-04,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.1,2023-10-04,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.9,2023-10-04,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.7,2023-10-04,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,30.9,2023-10-04,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.3,2023-10-04,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,33.0,2023-10-04,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.5,2023-10-04,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.7,2023-10-04,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.2,2023-10-04,,,
S24,31.3,2023-10-04,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.7,2023-10-04,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.7,2023-10-04,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.2,2023-10-05,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.0,2023-10-05,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,30.9,2023-10-05,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.9,2023-10-05,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.0,2023-10-05,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.6,2023-10-05,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.5,2023-10-05,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,32.2,2023-10-05,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.2,2023-10-05,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.3,2023-10-05,,,
S24,31.5,2023-10-05,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.6,2023-10-05,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.9,2023-10-05,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.0,2023-10-06,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.4,2023-10-06,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.3,2023-10-06,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.2,2023-10-06,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.2,2023-10-06,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,32.1,2023-10-06,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,32.4,2023-10-06,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.4,2023-10-06,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,32.6,2023-10-06,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.4,2023-10-06,,,
S24,31.4,2023-10-06,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.7,2023-10-06,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,33.0,2023-10-06,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.6,2023-10-07,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.0,2023-10-07,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,32.2,2023-10-07,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.2,2023-10-07,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.5,2023-10-07,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,32.0,2023-10-07,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,33.5,2023-10-07,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,32.7,2023-10-07,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,32.6,2023-10-07,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,32.5,2023-10-07,,,
S24,31.9,2023-10-07,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.8,2023-10-07,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S109,32.1,2023-10-08,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.1,2023-10-08,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,31.8,2023-10-08,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.1,2023-10-08,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,32.1,2023-10-08,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,31.2,2023-10-08,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,33.1,2023-10-08,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.9,2023-10-08,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.9,2023-10-08,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,31.7,2023-10-08,,,
S24,31.7,2023-10-08,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,31.4,2023-10-08,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,31.9,2023-10-08,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S107,29.8,2023-10-09,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S121,32.4,2023-10-09,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S115,30.0,2023-10-09,,,
S24,32.8,2023-10-09,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S104,32.4,2023-10-09,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,30.8,2023-10-10,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,31.1,2023-10-10,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,30.4,2023-10-10,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,30.1,2023-10-10,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,31.8,2023-10-10,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,28.5,2023-10-10,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,30.4,2023-10-10,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,31.5,2023-10-10,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,31.6,2023-10-10,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,30.7,2023-10-10,,,
S24,30.9,2023-10-10,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.5,2023-10-10,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,32.4,2023-10-10,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,29.1,2023-10-11,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
S117,30.0,2023-10-11,S117,Banyan Road,"{'latitude': 1.256, 'longitude': 103.679}"
S50,26.9,2023-10-11,S50,Clementi Road,"{'latitude': 1.3337, 'longitude': 103.7768}"
S107,29.7,2023-10-11,S107,East Coast Parkway,"{'latitude': 1.3135, 'longitude': 103.9625}"
S43,27.1,2023-10-11,S43,Kim Chuan Road,"{'latitude': 1.3399, 'longitude': 103.8878}"
S44,29.5,2023-10-11,S44,Nanyang Avenue,"{'latitude': 1.34583, 'longitude': 103.68166}"
S121,31.2,2023-10-11,S121,Old Choa Chu Kang Road,"{'latitude': 1.37288, 'longitude': 103.72244}"
S111,28.2,2023-10-11,S111,Scotts Road,"{'latitude': 1.31055, 'longitude': 103.8365}"
S60,30.9,2023-10-11,S60,Sentosa,"{'latitude': 1.25, 'longitude': 103.8279}"
S115,29.6,2023-10-11,,,
S24,28.2,2023-10-11,S24,Upper Changi Road North,"{'latitude': 1.3678, 'longitude': 103.9826}"
S116,30.6,2023-10-11,S116,West Coast Highway,"{'latitude': 1.281, 'longitude': 103.754}"
S104,33.3,2023-10-11,S104,Woodlands Avenue 9,"{'latitude': 1.44387, 'longitude': 103.78538}"
S109,32.6,2023-10-12,S109,Ang Mo Kio Avenue 5,"{'latitude': 1.3764, 'longitude': 103.8492}"
