date,temperature,station_id,station_name,latitude,longitude
2023-10-01,31.9,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-01,30.7,S117,Banyan Road,1.256,103.679
2023-10-01,30.0,S107,East Coast Parkway,1.3135,103.9625
2023-10-01,31.0,S43,Kim Chuan Road,1.3399,103.8878
2023-10-01,31.5,S44,Nanyang Avenue,1.34583,103.68166
2023-10-01,32.1,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-01,31.5,S111,Scotts Road,1.31055,103.8365
2023-10-01,31.5,S60,Sentosa,1.25,103.8279
2023-10-01,30.8,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-01,31.2,S24,Upper Changi Road North,1.3678,103.9826
2023-10-01,30.6,S116,West Coast Highway,1.281,103.754
2023-10-01,32.1,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-02,31.6,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-02,30.6,S117,Banyan Road,1.256,103.679
2023-10-02,30.4,S50,Clementi Road,1.3337,103.7768
2023-10-02,30.5,S107,East Coast Parkway,1.3135,103.9625
2023-10-02,31.4,S43,Kim Chuan Road,1.3399,103.8878
2023-10-02,31.2,S44,Nanyang Avenue,1.34583,103.68166
2023-10-02,31.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-02,30.8,S111,Scotts Road,1.31055,103.8365
2023-10-02,31.5,S60,Sentosa,1.25,103.8279
2023-10-02,30.9,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-02,30.9,S24,Upper Changi Road North,1.3678,103.9826
2023-10-02,30.6,S116,West Coast Highway,1.281,103.754
2023-10-02,31.8,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-03,26.8,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-03,26.6,S117,Banyan Road,1.256,103.679
2023-10-03,26.6,S50,Clementi Road,1.3337,103.7768
2023-10-03,27.9,S107,East Coast Parkway,1.3135,103.9625
2023-10-03,27.4,S43,Kim Chuan Road,1.3399,103.8878
2023-10-03,26.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-03,28.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-03,26.2,S111,Scotts Road,1.31055,103.8365
2023-10-03,27.0,S60,Sentosa,1.25,103.8279
2023-10-03,27.2,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-03,29.1,S24,Upper Changi Road North,1.3678,103.9826
2023-10-03,26.6,S116,West Coast Highway,1.281,103.754
2023-10-03,26.8,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-04,31.4,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-04,31.1,S117,Banyan Road,1.256,103.679
2023-10-04,31.9,S50,Clementi Road,1.3337,103.7768
2023-10-04,29.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-04,30.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-04,31.3,S44,Nanyang Avenue,1.34583,103.68166
2023-10-04,33.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-04,31.5,S111,Scotts Road,1.31055,103.8365
2023-10-04,31.7,S60,Sentosa,1.25,103.8279
2023-10-04,31.2,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-04,31.3,S24,Upper Changi Road North,1.3678,103.9826
2023-10-04,30.7,S116,West Coast Highway,1.281,103.754
2023-10-04,31.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-05,32.2,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-05,31.0,S117,Banyan Road,1.256,103.679
2023-10-05,30.9,S50,Clementi Road,1.3337,103.7768
2023-10-05,29.9,S107,East Coast Parkway,1.3135,103.9625
2023-10-05,32.0,S43,Kim Chuan Road,1.3399,103.8878
2023-10-05,31.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-05,32.5,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-05,32.2,S111,Scotts Road,1.31055,103.8365
2023-10-05,31.2,S60,Sentosa,1.25,103.8279
2023-10-05,31.3,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-05,31.5,S24,Upper Changi Road North,1.3678,103.9826
2023-10-05,30.6,S116,West Coast Highway,1.281,103.754
2023-10-05,31.9,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-06,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-06,31.4,S117,Banyan Road,1.256,103.679
2023-10-06,31.3,S50,Clementi Road,1.3337,103.7768
2023-10-06,30.2,S107,East Coast Parkway,1.3135,103.9625
2023-10-06,32.2,S43,Kim Chuan Road,1.3399,103.8878
2023-10-06,32.1,S44,Nanyang Avenue,1.34583,103.68166
2023-10-06,32.4,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-06,31.4,S111,Scotts Road,1.31055,103.8365
2023-10-06,32.6,S60,Sentosa,1.25,103.8279
2023-10-06,31.4,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-06,31.4,S24,Upper Changi Road North,1.3678,103.9826
2023-10-06,30.7,S116,West Coast Highway,1.281,103.754
2023-10-06,33.0,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-07,32.6,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-07,31.0,S117,Banyan Road,1.256,103.679
2023-10-07,32.2,S50,Clementi Road,1.3337,103.7768
2023-10-07,30.2,S107,East Coast Parkway,1.3135,103.9625
2023-10-07,32.5,S43,Kim Chuan Road,1.3399,103.8878
2023-10-07,32.0,S44,Nanyang Avenue,1.34583,103.68166
2023-10-07,33.5,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-07,32.7,S111,Scotts Road,1.31055,103.8365
2023-10-07,32.6,S60,Sentosa,1.25,103.8279
2023-10-07,32.5,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-07,31.9,S24,Upper Changi Road North,1.3678,103.9826
2023-10-07,30.8,S116,West Coast Highway,1.281,103.754
2023-10-08,32.1,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-08,31.1,S117,Banyan Road,1.256,103.679
2023-10-08,31.8,S50,Clementi Road,1.3337,103.7768
2023-10-08,30.1,S107,East Coast Parkway,1.3135,103.9625
2023-10-08,32.1,S43,Kim Chuan Road,1.3399,103.8878
2023-10-08,31.2,S44,Nanyang Avenue,1.34583,103.68166
2023-10-08,33.1,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-08,31.9,S111,Scotts Road,1.31055,103.8365
2023-10-08,31.9,S60,Sentosa,1.25,103.8279
2023-10-08,31.7,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-08,31.7,S24,Upper Changi Road North,1.3678,103.9826
2023-10-08,31.4,S116,West Coast Highway,1.281,103.754
2023-10-08,31.9,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-09,29.8,S107,East Coast Parkway,1.3135,103.9625
2023-10-09,32.4,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-09,30.0,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-09,32.8,S24,Upper Changi Road North,1.3678,103.9826
2023-10-09,32.4,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-10,30.8,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-10,31.1,S117,Banyan Road,1.256,103.679
2023-10-10,30.4,S50,Clementi Road,1.3337,103.7768
2023-10-10,30.1,S107,East Coast Parkway,1.3135,103.9625
2023-10-10,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-10,28.5,S44,Nanyang Avenue,1.34583,103.68166
2023-10-10,30.4,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-10,31.5,S111,Scotts Road,1.31055,103.8365
2023-10-10,31.6,S60,Sentosa,1.25,103.8279
2023-10-10,30.7,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-10,30.9,S24,Upper Changi Road North,1.3678,103.9826
2023-10-10,30.5,S116,West Coast Highway,1.281,103.754
2023-10-10,32.4,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-11,29.1,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-11,30.0,S117,Banyan Road,1.256,103.679
2023-10-11,26.9,S50,Clementi Road,1.3337,103.7768
2023-10-11,29.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-11,27.1,S43,Kim Chuan Road,1.3399,103.8878
2023-10-11,29.5,S44,Nanyang Avenue,1.34583,103.68166
2023-10-11,31.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-11,28.2,S111,Scotts Road,1.31055,103.8365
2023-10-11,30.9,S60,Sentosa,1.25,103.8279
2023-10-11,29.6,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-11,28.2,S24,Upper Changi Road North,1.3678,103.9826
2023-10-11,30.6,S116,West Coast Highway,1.281,103.754
2023-10-11,33.3,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-12,32.6,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-12,31.3,S117,Banyan Road,1.256,103.679
2023-10-12,33.1,S50,Clementi Road,1.3337,103.7768
2023-10-12,30.0,S107,East Coast Parkway,1.3135,103.9625
2023-10-12,32.4,S43,Kim Chuan Road,1.3399,103.8878
2023-10-12,31.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-12,32.7,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-12,33.2,S111,Scotts Road,1.31055,103.8365
2023-10-12,33.0,S60,Sentosa,1.25,103.8279
2023-10-12,31.5,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-12,32.1,S24,Upper Changi Road North,1.3678,103.9826
2023-10-12,31.5,S116,West Coast Highway,1.281,103.754
2023-10-12,32.9,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-13,32.9,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-13,31.4,S117,Banyan Road,1.256,103.679
2023-10-13,31.1,S50,Clementi Road,1.3337,103.7768
2023-10-13,30.2,S107,East Coast Parkway,1.3135,103.9625
2023-10-13,32.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-13,32.0,S44,Nanyang Avenue,1.34583,103.68166
2023-10-13,33.3,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-13,33.8,S111,Scotts Road,1.31055,103.8365
2023-10-13,30.9,S60,Sentosa,1.25,103.8279
2023-10-13,30.5,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-13,32.4,S24,Upper Changi Road North,1.3678,103.9826
2023-10-13,31.3,S116,West Coast Highway,1.281,103.754
2023-10-13,33.8,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-14,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-14,31.1,S117,Banyan Road,1.256,103.679
2023-10-14,30.3,S50,Clementi Road,1.3337,103.7768
2023-10-14,30.1,S107,East Coast Parkway,1.3135,103.9625
2023-10-14,31.2,S43,Kim Chuan Road,1.3399,103.8878
2023-10-14,31.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-14,32.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-14,31.0,S111,Scotts Road,1.31055,103.8365
2023-10-14,30.1,S60,Sentosa,1.25,103.8279
2023-10-14,31.1,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-14,31.7,S24,Upper Changi Road North,1.3678,103.9826
2023-10-14,30.3,S116,West Coast Highway,1.281,103.754
2023-10-14,31.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-15,32.4,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-15,31.5,S117,Banyan Road,1.256,103.679
2023-10-15,31.0,S50,Clementi Road,1.3337,103.7768
2023-10-15,30.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-15,32.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-15,31.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-15,32.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-15,31.2,S111,Scotts Road,1.31055,103.8365
2023-10-15,31.0,S60,Sentosa,1.25,103.8279
2023-10-15,29.9,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-15,32.2,S24,Upper Changi Road North,1.3678,103.9826
2023-10-15,31.0,S116,West Coast Highway,1.281,103.754
2023-10-15,31.8,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-16,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-16,31.2,S117,Banyan Road,1.256,103.679
2023-10-16,31.2,S50,Clementi Road,1.3337,103.7768
2023-10-16,30.3,S107,East Coast Parkway,1.3135,103.9625
2023-10-16,32.1,S43,Kim Chuan Road,1.3399,103.8878
2023-10-16,31.5,S44,Nanyang Avenue,1.34583,103.68166
2023-10-16,32.5,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-16,31.2,S111,Scotts Road,1.31055,103.8365
2023-10-16,30.1,S60,Sentosa,1.25,103.8279
2023-10-16,30.1,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-16,32.9,S24,Upper Changi Road North,1.3678,103.9826
2023-10-16,30.1,S116,West Coast Highway,1.281,103.754
2023-10-16,32.1,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-17,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-17,30.5,S117,Banyan Road,1.256,103.679
2023-10-17,31.2,S50,Clementi Road,1.3337,103.7768
2023-10-17,30.9,S107,East Coast Parkway,1.3135,103.9625
2023-10-17,32.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-17,32.4,S44,Nanyang Avenue,1.34583,103.68166
2023-10-17,32.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-17,32.9,S111,Scotts Road,1.31055,103.8365
2023-10-17,31.9,S60,Sentosa,1.25,103.8279
2023-10-17,31.7,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-17,32.3,S24,Upper Changi Road North,1.3678,103.9826
2023-10-17,30.9,S116,West Coast Highway,1.281,103.754
2023-10-17,32.1,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-18,29.7,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-18,28.1,S117,Banyan Road,1.256,103.679
2023-10-18,27.9,S50,Clementi Road,1.3337,103.7768
2023-10-18,30.2,S107,East Coast Parkway,1.3135,103.9625
2023-10-18,30.5,S43,Kim Chuan Road,1.3399,103.8878
2023-10-18,29.5,S44,Nanyang Avenue,1.34583,103.68166
2023-10-18,31.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-18,30.1,S111,Scotts Road,1.31055,103.8365
2023-10-18,26.0,S60,Sentosa,1.25,103.8279
2023-10-18,30.0,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-18,32.7,S24,Upper Changi Road North,1.3678,103.9826
2023-10-18,27.4,S116,West Coast Highway,1.281,103.754
2023-10-18,30.5,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-19,31.2,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-19,29.3,S117,Banyan Road,1.256,103.679
2023-10-19,32.3,S50,Clementi Road,1.3337,103.7768
2023-10-19,29.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-19,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-19,31.6,S44,Nanyang Avenue,1.34583,103.68166
2023-10-19,31.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-19,32.5,S111,Scotts Road,1.31055,103.8365
2023-10-19,29.8,S60,Sentosa,1.25,103.8279
2023-10-19,30.4,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-19,32.0,S24,Upper Changi Road North,1.3678,103.9826
2023-10-19,29.6,S116,West Coast Highway,1.281,103.754
2023-10-19,31.4,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-20,32.9,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-20,30.0,S117,Banyan Road,1.256,103.679
2023-10-20,31.0,S50,Clementi Road,1.3337,103.7768
2023-10-20,29.4,S107,East Coast Parkway,1.3135,103.9625
2023-10-20,30.4,S43,Kim Chuan Road,1.3399,103.8878
2023-10-20,30.1,S44,Nanyang Avenue,1.34583,103.68166
2023-10-20,32.8,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-20,30.0,S111,Scotts Road,1.31055,103.8365
2023-10-20,30.2,S60,Sentosa,1.25,103.8279
2023-10-20,29.6,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-20,31.3,S24,Upper Changi Road North,1.3678,103.9826
2023-10-20,30.0,S116,West Coast Highway,1.281,103.754
2023-10-20,31.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-21,30.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-21,31.6,S117,Banyan Road,1.256,103.679
2023-10-21,30.7,S50,Clementi Road,1.3337,103.7768
2023-10-21,29.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-21,31.5,S43,Kim Chuan Road,1.3399,103.8878
2023-10-21,28.9,S44,Nanyang Avenue,1.34583,103.68166
2023-10-21,29.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-21,29.9,S111,Scotts Road,1.31055,103.8365
2023-10-21,31.3,S60,Sentosa,1.25,103.8279
2023-10-21,29.8,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-21,30.7,S24,Upper Changi Road North,1.3678,103.9826
2023-10-21,29.8,S116,West Coast Highway,1.281,103.754
2023-10-21,30.3,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-22,32.8,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-22,31.1,S117,Banyan Road,1.256,103.679
2023-10-22,32.8,S50,Clementi Road,1.3337,103.7768
2023-10-22,30.3,S107,East Coast Parkway,1.3135,103.9625
2023-10-22,32.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-22,30.8,S44,Nanyang Avenue,1.34583,103.68166
2023-10-22,32.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-22,32.4,S111,Scotts Road,1.31055,103.8365
2023-10-22,31.2,S60,Sentosa,1.25,103.8279
2023-10-22,30.2,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-22,31.3,S24,Upper Changi Road North,1.3678,103.9826
2023-10-22,31.0,S116,West Coast Highway,1.281,103.754
2023-10-22,31.4,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-23,31.3,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-23,30.2,S117,Banyan Road,1.256,103.679
2023-10-23,30.7,S50,Clementi Road,1.3337,103.7768
2023-10-23,30.4,S107,East Coast Parkway,1.3135,103.9625
2023-10-23,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-23,29.9,S44,Nanyang Avenue,1.34583,103.68166
2023-10-23,30.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-23,30.9,S111,Scotts Road,1.31055,103.8365
2023-10-23,32.0,S60,Sentosa,1.25,103.8279
2023-10-23,30.3,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-23,31.0,S24,Upper Changi Road North,1.3678,103.9826
2023-10-23,30.6,S116,West Coast Highway,1.281,103.754
2023-10-23,30.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-24,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-24,32.9,S117,Banyan Road,1.256,103.679
2023-10-24,32.7,S50,Clementi Road,1.3337,103.7768
2023-10-24,30.9,S107,East Coast Parkway,1.3135,103.9625
2023-10-24,32.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-24,33.1,S44,Nanyang Avenue,1.34583,103.68166
2023-10-24,32.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-24,33.0,S111,Scotts Road,1.31055,103.8365
2023-10-24,31.6,S60,Sentosa,1.25,103.8279
2023-10-24,32.1,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-24,32.8,S24,Upper Changi Road North,1.3678,103.9826
2023-10-24,32.4,S116,West Coast Highway,1.281,103.754
2023-10-24,33.1,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-25,30.5,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-25,30.9,S117,Banyan Road,1.256,103.679
2023-10-25,31.3,S50,Clementi Road,1.3337,103.7768
2023-10-25,30.0,S107,East Coast Parkway,1.3135,103.9625
2023-10-25,32.1,S43,Kim Chuan Road,1.3399,103.8878
2023-10-25,29.0,S44,Nanyang Avenue,1.34583,103.68166
2023-10-25,30.4,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-25,32.0,S111,Scotts Road,1.31055,103.8365
2023-10-25,30.0,S60,Sentosa,1.25,103.8279
2023-10-25,29.6,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-25,31.1,S24,Upper Changi Road North,1.3678,103.9826
