table name,column name,description,udt name,max length,data type
air_temp,airtemp_id,id for air temperature,int4,NULL,integer
air_temp,station_id,id for weather station,varchar,4,character varying
air_temp,temperature,Air temperature in degree celcius,numeric,NULL,numeric
air_temp,airtemp_date,Timestamp (per hour) of air temperature,timestamp,NULL,timestamp without time zone
humidity,humidity_id,id for humidity reading,int4,NULL,integer
humidity,station_id,id for weather station,varchar,4,character varying
humidity,humidity_date,Timestamp (per hour) of humidity reading,timestamp,NULL,timestamp without time zone
humidity,humidity_readings,Relative humidity (%),numeric,NULL,numeric
locations,town_id,id for town,int4,NULL,integer
locations,town_name,town name of resale flat,varchar,20,character varying
locations,region,"central, north, south, east, west regions for psi and pm2.5 readings",varchar,10,character varying
locations,station_id,id for weather station,varchar,4,character varying
resale_flat_txn,resale_id,id for resale flat,int4,NULL,integer
resale_flat_txn,resale_date,transaction date (YYYY-MM) of resale flat,date,NULL,date
resale_flat_txn,town_name,town name of resale flat,varchar,20,character varying
resale_flat_txn,flat_type,flat type of resale flat,varchar,20,character varying
resale_flat_txn,block_no,block number of resale flat,varchar,5,character varying
resale_flat_txn,street_name,street name  of resale flat,varchar,30,character varying
resale_flat_txn,storey_range,storey range of resale flat,varchar,10,character varying
resale_flat_txn,floor_area_sqm,floor area in square meter,int4,NULL,integer
resale_flat_txn,flat_model,flat model of resale flat,varchar,30,character varying
resale_flat_txn,lease_commence_year,lease commence year,int4,NULL,integer
resale_flat_txn,remaining_lease,remaining lease (years and months),varchar,20,character varying
resale_flat_txn,resale_price,pricing of resale flat,int4,NULL,integer
station,station_id,id for weather station,varchar,4,character varying
station,station_name,name of weather station,varchar,30,character varying
station,device_id,device id of weather station,varchar,4,character varying
station,latitude,latitude of weather station,numeric,NULL,numeric
station,longitude,longitude of weather station,numeric,NULL,numeric
